V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
1;14;8;15;17;16;5;3;2;10
1;18;6;4;14;16;14;14;16;6
1;11;2;17;1;16;7;4;8;18
1;18;2;15;17;20;12;14;16;18
1;16;13;13;5;2;19;1;9;6
2;2;13;1;7;20;17;10;7;20
2;4;14;7;20;2;1;11;20;17
2;4;17;11;10;16;19;2;2;12
2;3;18;3;19;12;20;2;4;7
2;17;19;20;17;12;12;19;13;5
2;12;7;4;15;13;19;20;13;10
3;16;8;1;16;5;12;1;1;10
3;14;16;2;16;6;3;1;14;2
3;18;5;11;17;14;13;8;15;17
3;6;8;16;12;12;15;19;2;6
3;2;19;10;20;1;9;9;11;16
3;10;7;5;1;12;4;7;14;1
3;9;20;2;1;9;1;1;8;11
3;20;13;4;1;5;7;6;17;7
