V1;V2;V3;V4;V5;;;;;;;;;
1;7,27;8,34;3,27;6,27;;;;;;;;;
1;10,74;9,11;2,23;10,98;;;;;;;;;
1;5,48;2,91;9,16;2,58;;;;;;;;;
1;4,28;8,30;2,67;5,10;;;;;;;;;
1;7,12;4,19;5,10;5,10;;;;;;;;;
1;4,58;3,55;8,91;5,13;;;;;;;;;
1;2,86;3,36;2,37;5,29;;;;;;;;;
1;10,17;7,95;2,73;6,53;;;;;;;;;
2;8,74;10,20;4,99;6,13;;;;;;;;;
2;4,88;5,46;2,52;9,83;;;;;;;;;
2;6,54;3,11;2,33;8,98;;;;;;;;;
2;4,07;5,59;4,31;8,57;;;;;;;;;
2;4,49;9,48;8,19;7,22;;;;;;;;;
2;2,19;9,21;6,43;3,57;;;;;;;;;
2;3,49;9,06;8,89;9,79;;;;;;;;;
2;4,16;4,07;7,65;8,90;;;;;;;;;
2;7,85;5,69;8,44;6,58;;;;;;;;;
3;7,67;5,37;8,94;4,38;;;;;;;;;
3;8,14;10,12;9,67;10,45;;;;;;;;;
3;2,55;5,42;8,34;2,07;;;;;;;;;
3;2,18;8,21;6,54;5,53;;;;;;;;;
3;5,92;2,82;9,39;3,33;;;;;;;;;
3;9,37;10,37;9,83;7,57;;;;;;;;;
3;2,29;10,37;6,05;3,18;;;;;;;;;
3;10,36;7,53;9,08;2,72;;;;;;;;;
3;8,13;5,47;6,87;9,01;;;;;;;;;
4;8,29;9,24;7,54;2,62;;;;;;;;;
4;5,83;2,45;3,97;4,35;;;;;;;;;
4;6,02;4,11;5,18;5,25;;;;;;;;;
4;7,18;5,54;6,08;3,99;;;;;;;;;
4;10,25;5,92;2,72;3,91;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
